"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"S1";"STAB_MX_P_7u";1;"MX_stab";;;
2;"MX3,MX4,MX37,MX7,MX16,MX29,MX39,MX13,MX63,MX2,MX24,MX56,MX35,MX28,MX5,MX31,MX8,MX11,MX10,MX47,MX62,MX48,MX27,MX22,MX60,MX42,MX57,MX20,MX52,MX50,MX40,MX41,MX53,MX25,MX36,MX9,MX14,MX17,MX45,MX54,MX32,MX49,MX21,MX44,MX1,MX19,MX6,MX34,MX38,MX18,MX43,MX26,MX51,MX64,MX33,MX12,MX23,MX46";"SW_MX_1u";58;"MX_SW_solder";;;
3;"MX59,MX15,MX61,MX58";"SW_MX_1.5u";4;"MX_SW_solder";;;
4;"S3,S2";"STAB_MX_P_2.25u";2;"MX_stab";;;
5;"S4";"STAB_MX_P_2u";1;"MX_stab";;;
6;"MX30,MX55";"SW_MX_1.75u";2;"MX_SW_solder";;;
7;"D53,D41,D43,D8,D10,D46,D18,D48,D35,D30,D25,D38,D24,D56,D63,D11,D17,D42,D37,D34,D23,D19,D40,D61,D21,D14,D29,D55,D22,D13,D44,D62,D47,D12,D5,D31,D32,D59,D52,D27,D3,D54,D50,D51,D4,D45,D26,D33,D7,D58,D20,D39,D9,D49,D1,D57,D6,D64,D28,D60,D2,D36,D15,D16";"D_SOD-123";64;"D_Small";;;
8;"J3";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05";;;
9;"U1";"SOT-23-3";1;"XC6206PxxxMR";;;
10;"R4,R3,R6";"R_0402_1005Metric";3;"5.1k";;;
11;"R5,R9";"R_0402_1005Metric";2;"1k";;;
12;"C16,C13,C4,C8,C7,C15,C9,C14";"C_0402_1005Metric";8;"100n";;;
13;"C11,C12";"C_0402_1005Metric";2;"22p";;;
14;"RST1,BOOT1";"SW_SPST_TL3342";2;"SW_Push";;;
15;"C1,C6,C10,C3,C2";"C_0402_1005Metric";5;"1u";;;
16;"R8,R7";"R_0402_1005Metric";2;"27";;;
17;"J4";"Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical";1;"Conn_01x04";;;
18;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"Crystal_GND24";;;
19;"U4";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JVS";;;
20;"U3";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
21;"C5";"C_0603_1608Metric";1;"10u";;;
