Designator,Mid X,Mid Y,Layer,Rotation
BOOT1,136.39375,-72.4375,bottom,0
C1,104.775,-50.8,bottom,90
C10,133.26712,-86.19546,bottom,0
C11,133.081411,-107.552124,bottom,135
C12,129.112661,-107.667052,bottom,45
C13,129.244743,-87.576067,bottom,90
C14,127.7992,-104.038685,bottom,270
C15,122.567313,-97.837072,bottom,0
C16,128.213359,-87.5674,bottom,90
C2,102.34713,-56.35625,bottom,180
C3,125.554085,-91.068161,bottom,90
C4,126.726648,-104.032185,bottom,270
C5,112.7125,-79.375,bottom,0
C6,122.2375,-93.6625,bottom,0
C7,124.428827,-91.053891,bottom,90
C8,133.096808,-94.235894,bottom,180
C9,133.105462,-97.834364,bottom,180
D1,27.78125,-25.4,bottom,90
D10,199.23125,-25.4,bottom,90
D11,218.28125,-25.4,bottom,90
D12,237.33125,-25.4,bottom,90
D13,256.38125,-25.4,bottom,90
D14,284.95625,-25.4,bottom,90
D15,32.54375,-44.45,bottom,90
D16,56.35625,-44.45,bottom,90
D17,75.40625,-44.45,bottom,90
D18,94.45625,-44.45,bottom,90
D19,113.50625,-44.45,bottom,90
D2,46.83125,-25.4,bottom,90
D20,132.55625,-44.45,bottom,90
D21,151.60625,-44.45,bottom,90
D22,170.65625,-44.45,bottom,90
D23,189.70625,-44.45,bottom,90
D24,208.75625,-44.45,bottom,90
D25,227.80625,-44.45,bottom,90
D26,246.85625,-44.45,bottom,90
D27,265.90625,-44.45,bottom,90
D28,289.71875,-44.45,bottom,90
D29,313.53125,-44.45,bottom,90
D3,65.88125,-25.4,bottom,90
D30,34.925,-63.5,bottom,90
D31,61.11875,-63.5,bottom,90
D32,80.16875,-63.5,bottom,90
D33,99.21875,-63.5,bottom,90
D34,118.26875,-63.5,bottom,90
D35,137.31875,-63.5,bottom,90
D36,156.36875,-63.5,bottom,90
D37,175.41875,-63.5,bottom,90
D38,194.46875,-63.5,bottom,90
D39,213.51875,-63.5,bottom,90
D4,84.93125,-25.4,bottom,90
D40,232.56875,-63.5,bottom,90
D41,251.61875,-63.5,bottom,90
D42,282.575,-63.5,bottom,90
D43,313.53125,-63.5,bottom,90
D44,39.6875,-82.55,bottom,90
D45,70.64375,-82.55,bottom,90
D46,89.69375,-82.55,bottom,90
D47,108.74375,-82.55,bottom,90
D48,127.79375,-82.55,bottom,90
D49,146.84375,-82.55,bottom,90
D5,103.98125,-25.4,bottom,90
D50,165.89375,-82.55,bottom,90
D51,184.94375,-82.55,bottom,90
D52,203.99375,-82.55,bottom,90
D53,223.04375,-82.55,bottom,90
D54,242.09375,-82.55,bottom,90
D55,268.2875,-82.55,bottom,90
D56,294.48125,-82.55,bottom,90
D57,313.53125,-82.55,bottom,90
D58,32.54375,-101.6,bottom,90
D59,80.16875,-101.6,bottom,90
D6,123.03125,-25.4,bottom,90
D60,161.13125,-101.6,bottom,90
D61,237.33125,-101.6,bottom,90
D62,275.43125,-101.6,bottom,90
D63,294.48125,-101.6,bottom,90
D64,313.53125,-101.6,bottom,90
D7,142.08125,-25.4,bottom,90
D8,161.13125,-25.4,bottom,90
D9,180.18125,-25.4,bottom,90
J3,117.660993,-108.219357,bottom,90
J4,119.85625,-50.8,bottom,180
R3,130.44375,-71.85,bottom,0
R4,130.44375,-73.05,bottom,180
R5,130.44375,-74.25,bottom,0
R6,118.437555,-102.470839,bottom,270
R7,127.152046,-87.59625,bottom,270
R8,126.079493,-87.59625,bottom,270
R9,128.910755,-104.071187,bottom,90
RST1,113.50625,-101.6,bottom,0
U1,102.34713,-53.18125,bottom,270
U3,127.79375,-96.8375,bottom,90
U4,139.7,-88.10625,bottom,270
Y1,131.216349,-105.833855,bottom,135
